,Unnamed: 0,Volume,Last,Chg,% Chg
86,Full House Resorts Inc. (FLL),155.7K,3.24,0.32,10.96
87,RH (RH),2.3M,172.78,16.99,10.91
88,Evotec SE ADR (EVO),343.0K,3.97,0.39,10.89
89,Hut 8 Corp. (HUT),8.4M,11.79,1.15,10.81
90,Enliven Therapeutics Inc. (ELVN),559.0K,17.97,1.75,10.79
91,Galecto Inc. (GLTO),87.1K,2.68,0.26,10.74
92,WISeKey International Holding Ltd. ADR (WKEY),62.6K,3.83,0.37,10.69
93,Cumberland Pharmaceuticals Inc. (CPIX),53.5K,4.97,0.48,10.69
94,Arcturus Therapeutics Holdings Inc. (ARCT),527.9K,12.17,1.17,10.64
95,First Solar Inc. (FSLR),8.3M,135.35,12.9,10.53
96,NuScale Power Corp. (SMR),5.8M,15.08,1.44,10.52
97,Wellgistics Health Inc. (WGRX),64.9K,3.42,0.33,10.48
98,Avalo Therapeutics Inc. (AVTX),78.0K,4.87,0.46,10.43
99,PagSeguro Digital Ltd. Cl A (PAGS),6.8M,9.35,0.88,10.39
