,Unnamed: 0,Volume,Last,Chg,% Chg
0,Tivic Health Systems Inc. (TIVC),35.2M,7.13,3.63,103.71
1,Oblong Inc. (OBLG),21.0M,3.54,1.4,65.42
2,TMD Energy Ltd. (TMDE),1.7M,5.24,1.61,44.35
3,NovaGold Resources Inc. (NG),25.0M,4.35,1.24,39.87
4,Safe Pro Group Inc. (SPAI),289.2K,3.46,0.76,27.96
5,BriaCell Therapeutics Corp. (BCTX),608.1K,5.35,1.16,27.68
6,VCI Global Ltd. (VCIG),968.2K,3.57,0.73,25.7
7,Agenus Inc. (AGEN),4.5M,2.87,0.56,24.24
8,Bitdeer Technologies Group (BTDR),8.4M,9.38,1.78,23.42
9,Femto Technologies Inc. (FMTO),2.4M,7.33,1.33,22.17
10,Coincheck Group N.V. (CNCK),95.3K,7.37,1.32,21.82
11,Innventure Inc. (INV),220.1K,4.37,0.77,21.39
12,Creative Media & Community Trust Corp. (CMCT),1.0M,5.03,0.87,20.91
13,Antelope Enterprise Holdings Ltd. (AEHL),610.2K,3.1,0.52,20.16
14,QuantaSing Group Ltd. ADR (QSG),537.2K,4.66,0.78,20.1
15,Korro Bio Inc. (KRRO),232.9K,16.34,2.69,19.76
16,XIAO-I Corp. ADR (AIXI),95.0K,3.44,0.56,19.44
17,Auddia Inc. (AUUD),955.7K,3.87,0.61,18.71
18,Larimar Therapeutics Inc. (LRMR),2.3M,2.38,0.37,18.41
19,AgapeATP Corp. (ATPC),691.5K,2.45,0.38,18.36
20,LogProstyle Inc. (LGPS),80.0K,4.07,0.62,17.97
21,908 Devices Inc. (MASS),1.3M,5.66,0.86,17.92
22,TeraWulf Inc. (WULF),59.4M,2.65,0.4,17.78
23,CleanSpark Inc. (CLSK),39.7M,8.77,1.3,17.4
24,REGENXBIO Inc. (RGNX),1.4M,7.82,1.15,17.24
25,Cipher Mining Inc. (CIFR),22.0M,2.74,0.4,17.09
26,Zhengye Biotechnology Holding Ltd. (ZYBT),1.3M,9.01,1.31,17.01
27,Journey Medical Corp. (DERM),192.7K,7.39,1.06,16.75
28,Capricor Therapeutics Inc. (CAPR),2.2M,13.89,1.97,16.53
29,Zoomcar Holdings Inc. (ZCAR),131.1K,3.68,0.52,16.46
30,Amylyx Pharmaceuticals Inc. (AMLX),1.9M,4.92,0.69,16.31
31,Coya Therapeutics Inc. (COYA),163.7K,6.64,0.93,16.29
32,Bicycle Therapeutics Ltd. ADR (BCYC),809.9K,8.73,1.22,16.25
33,Regulus Therapeutics Inc. (RGLS),1.6M,2.32,0.31,15.42
34,CuriosityStream Inc. (CURI),445.0K,3.52,0.47,15.41
35,ThredUp Inc. Cl A (TDUP),1.8M,3.85,0.51,15.27
36,Neurogene Inc. (NGNE),304.1K,13.83,1.81,15.06
37,PureCycle Technologies Inc. (PCT),5.0M,6.39,0.82,14.82
38,Gauzy Ltd. (GAUZ),224.4K,10.29,1.3,14.46
39,MARA Holdings Inc. (MARA),61.1M,14.06,1.77,14.4
40,Janover Inc. (JNVR),321.3K,44.86,5.51,14.0
41,Root Inc. Cl A (ROOT),504.5K,134.95,16.56,13.99
42,Equifax Inc. (EFX),2.0M,245.08,29.79,13.84
43,Oruka Therapeutics Inc. (ORKA),217.2K,10.58,1.28,13.76
44,Brazil Potash Corp. (GRO),77.7K,2.84,0.34,13.6
45,Energys Group Ltd. (ENGS),769.5K,5.85,0.7,13.59
46,Eledon Pharmaceuticals Inc. (ELDN),377.2K,3.38,0.4,13.42
47,Oncology Institute Inc. (TOI),3.8M,2.71,0.32,13.39
48,Laser Photonics Corp. (LASE),123.8K,2.88,0.34,13.39
49,Verastem Inc. (VSTM),1.6M,7.04,0.83,13.37
50,Solid Biosciences Inc. (SLDB),2.7M,3.43,0.4,13.2
51,Riot Platforms Inc. (RIOT),39.3M,7.12,0.83,13.2
52,Mingteng International Corp. Inc. (MTEN),131.2K,6.9,0.8,13.11
53,Calix Inc. (CALX),3.3M,37.61,4.36,13.11
54,MBX Biosciences Inc. (MBX),441.8K,8.64,1.0,13.09
55,Ascentage Pharma Group International ADR (AAPG),120.0K,21.6,2.48,12.97
56,BTC Digital Ltd. (BTCT),656.0K,3.78,0.43,12.84
57,Hesai Group ADR (HSAI),7.0M,13.09,1.48,12.75
58,Wellgistics Health Inc. (WGRX),65.3K,3.5,0.4,12.74
59,iTeos Therapeutics Inc. (ITOS),1.3M,7.45,0.83,12.54
60,Intercont (Cayman) Ltd. (NCT),483.4K,6.03,0.67,12.5
61,IperionX Ltd. ADR (IPX),94.4K,21.93,2.43,12.46
62,Astria Therapeutics Inc. (ATXS),855.0K,4.62,0.51,12.41
63,GRAIL Inc. (GRAL),1.4M,29.69,3.27,12.38
64,HUTCHMED (China) Ltd. ADR (HCM),166.7K,15.6,1.71,12.31
65,BeLive Holdings (BLIV),192.4K,3.76,0.41,12.24
66,Lightbridge Corp. (LTBR),815.6K,7.96,0.86,12.11
67,Kodiak Sciences Inc. (KOD),718.1K,3.64,0.39,12.0
68,Marwynn Holdings Inc. (MWYN),2.6M,4.41,0.47,11.93
69,Anteris Technologies Global Corp. (AVR),286.3K,3.51,0.37,11.78
70,Ameresco Inc. Cl A (AMRC),888.9K,9.68,1.02,11.78
71,WiMi Hologram Cloud Inc. Cl B (WIMI),1.6M,5.03,0.53,11.78
72,Karyopharm Therapeutics Inc. (KPTI),107.8K,6.03,0.63,11.67
73,Sleep Number Corp. (SNBR),607.0K,5.94,0.62,11.65
74,Nukkleus Inc. (NUKK),156.0K,14.3,1.49,11.63
75,Semler Scientific Inc. (SMLR),432.2K,33.28,3.45,11.57
