,Unnamed: 0,Volume,Last,Chg,% Chg
0,Sonoma Pharmaceuticals Inc. (SNOA),58.8M,3.95,1.62,69.53
1,Cantor Equity Partners Inc. (CEP),17.5M,16.5,5.88,55.37
2,EPWK Holdings Ltd. Cl A (EPWK),13.2M,8.12,2.73,50.65
3,Precipio Inc. (PRPO),147.9K,7.7,2.25,41.28
4,Pluri Inc. (PLUR),299.1K,6.75,1.95,40.62
5,American Rebel Holdings Inc. (AREB),91.6M,3.07,0.86,38.91
6,Bolt Projects Holdings Inc. (BSLK),567.7K,7.13,1.82,34.27
7,Arena Group Holdings Inc. (AREN),513.1K,3.36,0.83,32.81
8,Pony AI Inc. ADR (PONY),9.9M,5.43,1.27,30.53
9,Healthcare Services Group Inc. (HCSG),3.0M,12.19,2.78,29.54
10,Pegasystems Inc. (PEGA),3.9M,88.55,19.79,28.78
11,Rezolute Inc. (RZLT),16.9M,3.97,0.86,27.65
12,Anteris Technologies Global Corp. (AVR),498.5K,4.48,0.97,27.64
13,MIND Technology Inc. (MIND),1.4M,6.88,1.44,26.47
14,Energys Group Ltd. (ENGS),316.0K,7.32,1.47,25.13
15,Instil Bio Inc. (TIL),499.9K,20.52,4.03,24.44
16,Aether Holdings Inc. (ATHR),137.6K,6.24,1.18,23.18
17,Janover Inc. (JNVR),385.3K,55.06,10.2,22.74
18,Maxeon Solar Technologies Ltd. (MAXN),585.7K,3.35,0.62,22.71
19,ENDRA Life Sciences Inc. (NDRA),1.4M,3.78,0.69,22.52
20,Upexi Inc. (UPXI),11.3M,11.01,2.01,22.33
21,Summit Therapeutics Inc. (SMMT),11.8M,33.23,5.88,21.5
22,Novavax Inc. (NVAX),14.7M,7.47,1.22,19.52
23,Wellgistics Health Inc. (WGRX),143.9K,4.17,0.68,19.31
24,Seres Therapeutics Inc. (MCRB),641.5K,9.73,1.57,19.24
25,X Financial ADR (XYF),194.1K,13.77,2.13,18.3
26,Exagen Inc. (XGN),203.0K,5.72,0.88,18.18
27,Splash Beverage Group Inc. (SBEV),1.2M,8.0,1.23,18.17
28,CommScope Holding Co. Inc. (COMM),8.3M,3.79,0.56,17.34
29,Baird Medical Investment Holdings Ltd. (BDMD),141.0K,6.64,0.91,15.88
30,BeLive Holdings (BLIV),336.9K,4.34,0.58,15.43
31,Tempus AI Inc. (TEM),18.7M,49.55,6.32,14.62
32,Power Solutions International Inc. (PSIX),469.9K,24.05,3.03,14.41
33,FatPipe Inc. (FATN),815.3K,11.55,1.45,14.36
34,D-Wave Quantum Inc. (QBTS),40.3M,7.13,0.88,14.08
35,Tonix Pharmaceuticals Holding Corp. (TNXP),850.8K,17.02,2.06,13.77
36,Safe Pro Group Inc. (SPAI),233.1K,3.93,0.47,13.75
37,GRAIL Inc. (GRAL),2.0M,33.76,4.07,13.71
38,REGENXBIO Inc. (RGNX),1.7M,8.87,1.05,13.43
39,60 Degrees Pharmaceuticals Inc. (SXTP),249.9K,3.01,0.34,12.73
40,Astria Therapeutics Inc. (ATXS),861.0K,5.2,0.58,12.55
41,Protalix BioTherapeutics Inc. (PLX),2.0M,2.96,0.33,12.55
42,Exodus Movement Inc. (EXOD),64.1K,44.09,4.9,12.5
43,Yatsen Holding Ltd. ADR (YSG),175.1K,4.59,0.51,12.5
44,Latham Group Inc. (SWIM),909.1K,5.55,0.61,12.35
45,Nuvectis Pharma Inc. (NVCT),156.8K,10.41,1.14,12.3
46,Bicara Therapeutics Inc. (BCAX),1.2M,15.51,1.69,12.23
47,Mercurity Fintech Holding Inc. (MFH),92.1K,6.63,0.72,12.18
48,VCI Global Ltd. (VCIG),329.0K,4.0,0.43,12.04
49,Serve Robotics Inc. (SERV),5.9M,5.9,0.63,11.95
50,Nukkleus Inc. (NUKK),254.6K,16.0,1.7,11.89
51,Neurogene Inc. (NGNE),409.5K,15.44,1.61,11.64
52,SUNation Energy Inc. (SUNE),2.0M,2.88,0.3,11.63
53,Trump Media & Technology Group Corp. (DJT),14.7M,26.38,2.73,11.54
54,COMPASS Pathways PLC ADR (CMPS),2.8M,3.98,0.41,11.48
55,Agora Inc. ADR (API),1.5M,2.93,0.3,11.41
56,BioLife Solutions Inc. (BLFS),793.2K,24.35,2.46,11.24
57,Aardvark Therapeutics Inc. (AARD),93.4K,8.52,0.86,11.23
58,BTC Digital Ltd. (BTCT),447.5K,4.19,0.41,10.85
59,Monte Rosa Therapeutics Inc. (GLUE),677.0K,5.33,0.52,10.81
60,QuantaSing Group Ltd. ADR (QSG),579.7K,5.16,0.5,10.73
61,Ascentage Pharma Group International ADR (AAPG),54.3K,23.9,2.3,10.65
62,trivago N.V. ADR (TRVG),233.6K,3.85,0.37,10.63
63,Patriot National Bancorp Inc. (PNBK),272.1K,3.45,0.33,10.58
64,Ichor Holdings Ltd. (ICHR),577.0K,19.48,1.86,10.56
65,Virgin Galactic Holdings Inc. (SPCE),2.6M,2.83,0.27,10.55
66,Appian Corp. Cl A (APPN),1.3M,29.56,2.82,10.55
67,ATI Inc. (ATI),2.7M,50.41,4.8,10.52
68,Corbus Pharmaceuticals Holdings Inc. (CRBP),210.0K,7.39,0.7,10.46
69,Gaia Inc. Cl A (GAIA),118.6K,4.45,0.42,10.42
70,Ming Shing Group Holdings Ltd. (MSW),221.8K,3.71,0.35,10.42
71,Foghorn Therapeutics Inc. (FHTX),219.2K,4.68,0.44,10.38
72,TMD Energy Ltd. (TMDE),4.2M,5.78,0.54,10.31
73,Innovative Solutions & Support Inc. (ISSC),173.4K,6.65,0.62,10.28
74,VivoPower International PLC (VVPR),370.2K,2.8,0.26,10.24
75,Innodata Inc. (INOD),1.4M,34.39,3.15,10.08
76,Marti Technologies Inc. (MRT),53.5K,3.13,0.28,10.02
77,Duolingo Inc. (DUOL),1.1M,370.0,33.66,10.01
78,Semtech Corp. (SMTC),3.2M,27.15,2.46,9.96
79,Korro Bio Inc. (KRRO),247.4K,17.96,1.63,9.95
80,Hesai Group ADR (HSAI),9.9M,14.39,1.3,9.93
81,Regulus Therapeutics Inc. (RGLS),899.5K,2.55,0.23,9.91
82,Ultra Clean Holdings Inc. (UCTT),603.6K,20.7,1.85,9.81
83,Sionna Therapeutics Inc. (SION),104.3K,13.09,1.16,9.72
84,BioNTech SE ADR (BNTX),2.7M,114.83,10.15,9.7
85,Archer Aviation Inc. (ACHR),26.9M,8.05,0.71,9.67
86,Kodiak Sciences Inc. (KOD),826.1K,3.99,0.35,9.62
87,Edgewise Therapeutics Inc. (EWTX),1.1M,14.83,1.3,9.61
88,FARO Technologies Inc. (FARO),397.2K,26.4,2.31,9.59
89,ATRenew Inc. ADR (RERE),1.9M,2.29,0.2,9.57
90,Vivos Therapeutics Inc. (VVOS),96.6K,2.52,0.22,9.57
91,Mingteng International Corp. Inc. (MTEN),131.2K,7.56,0.66,9.57
92,Mobileye Global Inc. Cl A (MBLY),5.5M,13.2,1.15,9.54
93,Corsair Gaming Inc. (CRSR),2.5M,6.6,0.57,9.45
94,Quantum Biopharma Ltd. (QNTM),105.1K,6.87,0.59,9.39
95,TSS Inc. (TSSI),822.2K,7.35,0.63,9.38
96,Root Inc. Cl A (ROOT),624.5K,147.6,12.65,9.37
97,Credo Technology Group Holding Ltd. (CRDO),4.4M,40.49,3.47,9.37
98,Jaguar Health Inc. (JAGX),88.2K,6.67,0.57,9.34
99,Allegiant Travel Co. (ALGT),774.6K,45.61,3.89,9.32
