,Unnamed: 0,Volume,Last,Chg,% Chg
0,Sonoma Pharmaceuticals Inc. (SNOA),58.4M,3.95,1.61,68.09
1,Cantor Equity Partners Inc. (CEP),15.2M,16.5,5.87,55.22
2,EPWK Holdings Ltd. Cl A (EPWK),13.0M,8.12,2.78,52.06
3,Precipio Inc. (PRPO),144.1K,7.7,2.25,41.28
4,Pluri Inc. (PLUR),302.9K,6.75,1.95,40.63
5,American Rebel Holdings Inc. (AREB),90.5M,3.07,0.83,37.36
6,Bolt Projects Holdings Inc. (BSLK),552.6K,7.13,1.82,34.27
7,Pony AI Inc. ADR (PONY),9.3M,5.43,1.26,30.37
8,Arena Group Holdings Inc. (AREN),505.5K,3.3,0.77,29.92
9,Healthcare Services Group Inc. (HCSG),2.7M,12.19,2.78,29.54
10,Pegasystems Inc. (PEGA),3.7M,88.55,19.78,28.76
11,Anteris Technologies Global Corp. (AVR),459.9K,4.48,0.98,28.0
12,Rezolute Inc. (RZLT),16.8M,3.97,0.86,27.86
13,MIND Technology Inc. (MIND),1.4M,6.88,1.42,26.05
14,Energys Group Ltd. (ENGS),329.7K,7.32,1.47,25.13
15,Upexi Inc. (UPXI),11.2M,11.01,2.13,23.99
16,Instil Bio Inc. (TIL),492.7K,20.52,3.95,23.84
17,Janover Inc. (JNVR),373.6K,55.06,10.24,22.84
18,Maxeon Solar Technologies Ltd. (MAXN),592.6K,3.35,0.62,22.71
19,ENDRA Life Sciences Inc. (NDRA),1.4M,3.78,0.68,21.88
20,Summit Therapeutics Inc. (SMMT),11.2M,33.23,5.88,21.5
21,Seres Therapeutics Inc. (MCRB),637.6K,9.73,1.63,20.12
22,Novavax Inc. (NVAX),14.2M,7.47,1.23,19.71
23,Aether Holdings Inc. (ATHR),134.0K,6.2,1.01,19.46
24,Wellgistics Health Inc. (WGRX),142.1K,4.17,0.67,18.97
25,BeLive Holdings (BLIV),333.0K,4.34,0.67,18.26
26,Exagen Inc. (XGN),205.3K,5.72,0.88,18.18
27,X Financial ADR (XYF),194.1K,13.7,2.06,17.7
28,Splash Beverage Group Inc. (SBEV),1.1M,7.95,1.16,17.43
29,CommScope Holding Co. Inc. (COMM),7.1M,3.79,0.55,16.98
30,Baird Medical Investment Holdings Ltd. (BDMD),139.8K,6.64,0.91,15.88
31,FatPipe Inc. (FATN),798.7K,11.55,1.52,15.21
32,Tempus AI Inc. (TEM),16.4M,49.55,6.32,14.62
33,D-Wave Quantum Inc. (QBTS),39.6M,7.14,0.9,14.43
34,Power Solutions International Inc. (PSIX),481.7K,24.05,3.03,14.41
35,GRAIL Inc. (GRAL),1.9M,33.76,4.12,13.82
