,Unnamed: 0,Volume,Last,Chg,% Chg
36,REGENXBIO Inc. (RGNX),1.6M,8.87,1.06,13.65
37,Nukkleus Inc. (NUKK),249.4K,16.0,1.84,13.03
38,Tonix Pharmaceuticals Holding Corp. (TNXP),750.5K,17.02,1.94,12.86
39,Yatsen Holding Ltd. ADR (YSG),168.0K,4.57,0.52,12.84
40,60 Degrees Pharmaceuticals Inc. (SXTP),269.6K,3.01,0.34,12.73
41,Latham Group Inc. (SWIM),776.8K,5.55,0.61,12.35
42,Protalix BioTherapeutics Inc. (PLX),2.0M,2.95,0.33,12.38
43,Astria Therapeutics Inc. (ATXS),789.2K,5.2,0.57,12.31
44,Nuvectis Pharma Inc. (NVCT),169.4K,10.41,1.14,12.3
45,Safe Pro Group Inc. (SPAI),228.0K,3.93,0.43,12.29
46,Bicara Therapeutics Inc. (BCAX),1.1M,15.51,1.7,12.27
47,Exodus Movement Inc. (EXOD),59.1K,43.97,4.78,12.2
48,Mercurity Fintech Holding Inc. (MFH),96.0K,6.63,0.72,12.18
49,Serve Robotics Inc. (SERV),4.9M,5.9,0.63,11.85
50,Trump Media & Technology Group Corp. (DJT),14.5M,26.38,2.75,11.64
51,SUNation Energy Inc. (SUNE),1.9M,2.88,0.3,11.63
52,Waton Financial Ltd. (WTF),425.2K,8.13,0.84,11.52
53,Neurogene Inc. (NGNE),309.0K,15.44,1.59,11.52
54,VCI Global Ltd. (VCIG),324.5K,4.0,0.41,11.4
55,BioLife Solutions Inc. (BLFS),731.2K,24.35,2.46,11.24
56,Aardvark Therapeutics Inc. (AARD),102.8K,8.52,0.86,11.23
57,TMD Energy Ltd. (TMDE),4.2M,5.8,0.6,11.06
58,Ming Shing Group Holdings Ltd. (MSW),221.6K,3.73,0.37,11.01
59,Agora Inc. ADR (API),1.5M,2.93,0.29,10.98
60,BTC Digital Ltd. (BTCT),439.2K,4.19,0.41,10.85
61,ATI Inc. (ATI),2.4M,50.43,4.94,10.86
62,Virgin Galactic Holdings Inc. (SPCE),2.5M,2.84,0.28,10.74
63,COMPASS Pathways PLC ADR (CMPS),2.8M,3.98,0.39,10.71
64,Ichor Holdings Ltd. (ICHR),487.8K,19.48,1.88,10.68
65,Foghorn Therapeutics Inc. (FHTX),201.1K,4.68,0.45,10.64
66,Global Mofy AI Ltd. (GMM),78.9K,2.4,0.23,10.6
67,Appian Corp. Cl A (APPN),1.1M,29.56,2.81,10.5
68,Innovative Solutions & Support Inc. (ISSC),164.0K,6.65,0.63,10.47
69,Corbus Pharmaceuticals Holdings Inc. (CRBP),228.2K,7.39,0.7,10.46
70,Monte Rosa Therapeutics Inc. (GLUE),616.0K,5.33,0.5,10.35
71,trivago N.V. ADR (TRVG),232.3K,3.85,0.36,10.32
72,VivoPower International PLC (VVPR),347.7K,2.8,0.25,9.93
73,Ascentage Pharma Group International ADR (AAPG),53.9K,23.9,2.18,10.04
74,Innodata Inc. (INOD),1.3M,34.39,3.11,9.98
75,Silence Therapeutics PLC ADR (SLN),222.5K,3.32,0.3,9.93
76,Regulus Therapeutics Inc. (RGLS),810.6K,2.55,0.23,9.91
77,Archer Aviation Inc. (ACHR),25.9M,8.06,0.72,9.89
78,Hesai Group ADR (HSAI),9.5M,14.39,1.29,9.89
79,Semtech Corp. (SMTC),2.9M,27.15,2.44,9.87
80,Duolingo Inc. (DUOL),1.0M,370.0,33.36,9.91
81,Marti Technologies Inc. (MRT),53.0K,3.18,0.28,9.84
82,Korro Bio Inc. (KRRO),234.4K,17.96,1.6,9.81
83,Ultra Clean Holdings Inc. (UCTT),508.2K,20.7,1.84,9.79
84,BioNTech SE ADR (BNTX),2.4M,114.83,10.22,9.77
85,Kodiak Sciences Inc. (KOD),753.4K,3.99,0.35,9.77
86,DDC Enterprise Ltd. (DDC),53.2K,2.26,0.2,9.71
87,Edgewise Therapeutics Inc. (EWTX),971.8K,14.83,1.3,9.65
88,Solaris Resources Inc. (SLSR),89.7K,3.95,0.34,9.57
89,FARO Technologies Inc. (FARO),360.9K,26.4,2.3,9.54
90,TSS Inc. (TSSI),794.4K,7.35,0.64,9.54
91,Top Win International Ltd. (TOPW),145.9K,2.65,0.23,9.5
92,Credo Technology Group Holding Ltd. (CRDO),3.8M,40.49,3.48,9.4
93,Root Inc. Cl A (ROOT),590.0K,147.6,12.68,9.4
94,Quantum Biopharma Ltd. (QNTM),107.6K,6.87,0.59,9.39
95,Gaia Inc. Cl A (GAIA),117.0K,4.45,0.36,8.8
96,Allegiant Travel Co. (ALGT),667.2K,45.61,3.88,9.3
97,Corsair Gaming Inc. (CRSR),2.2M,6.6,0.56,9.27
98,Biomerica Inc. (BMRA),310.1K,3.66,0.31,9.25
99,Mobileye Global Inc. Cl A (MBLY),4.6M,13.2,1.13,9.36
