,Unnamed: 0,Volume,Last,Chg,% Chg
89,Bitdeer Technologies Group (BTDR),2.7M,10.36,0.98,10.5
90,Modine Manufacturing Co. (MOD),305.6K,79.76,7.55,10.46
91,Robinhood Markets Inc. (HOOD),17.8M,46.49,4.4,10.45
92,Argan Inc. (AGX),61.7K,148.0,13.99,10.44
93,Nukkleus Inc. (NUKK),76.2K,15.79,1.49,10.42
94,Oklo Inc. (OKLO),6.3M,23.77,2.24,10.4
95,Dogwood Therapeutics Inc. (DWTX),422.8K,6.02,0.56,10.26
96,Intuitive Machines Inc. Cl A (LUNR),2.7M,8.11,0.75,10.19
97,Aurora Innovation Inc. (AUR),3.3M,6.78,0.63,10.16
98,Enovix Corp. (ENVX),1.3M,6.78,0.62,10.06
99,Affirm Holdings Inc. Cl A (AFRM),2.2M,48.22,4.41,10.05
