,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,UPST,"Upstart Holdings, Inc.",,45.50 +3.57 (+8.51%),3.57,+8.51%,2.266M,6.327M,4.326B,--,+81.36%,
45,ROKU,"Roku, Inc.",,64.35 +5.12 (+8.65%),5.12,+8.65%,1.018M,4.221M,9.391B,--,-4.21%,
46,RH,RH,,187.37 +14.57 (+8.43%),14.57,+8.43%,827876,1.594M,3.509B,51.90,-31.39%,
47,GLBE,Global-E Online Ltd.,,35.80 +2.86 (+8.69%),2.86,+8.69%,869880,2.111M,6.066B,--,-1.76%,
48,ZETA,Zeta Global Holdings Corp.,,12.28 +0.97 (+8.58%),0.97,+8.58%,1.352M,6.17M,2.919B,--,-7.90%,
49,W,Wayfair Inc.,,29.82 +2.38 (+8.66%),2.38,+8.66%,2.145M,5.482M,3.785B,--,-48.15%,
50,DOCN,"DigitalOcean Holdings, Inc.",,28.91 +2.23 (+8.36%),2.23,+8.36%,320301,1.463M,2.662B,32.48,-19.20%,
51,KVYO,"Klaviyo, Inc.",,26.48 +2.03 (+8.30%),2.03,+8.30%,272994,1.696M,7.232B,--,+6.82%,
52,PRCT,PROCEPT BioRobotics Corporation,,56.87 +4.07 (+7.71%),4.07,+7.71%,216969,973611,3.118B,--,+0.61%,
53,FIVE,"Five Below, Inc.",,77.50 +6.04 (+8.46%),6.04,+8.46%,1.531M,2.334M,4.266B,16.85,-51.89%,
54,ELF,"e.l.f. Beauty, Inc.",,60.12 +4.79 (+8.64%),4.79,+8.64%,888325,3.286M,3.39B,36.00,-68.74%,
55,STRL,"Sterling Infrastructure, Inc.",,144.35 +10.43 (+7.79%),10.43,+7.79%,83730,907280,4.391B,17.43,+32.63%,
56,TWST,Twist Bioscience Corporation,,40.03 +3.09 (+8.39%),3.09,+8.39%,124068,1.165M,2.388B,--,+20.13%,
57,PCOR,"Procore Technologies, Inc.",,61.87 +4.64 (+8.11%),4.64,+8.11%,400752,1.537M,9.276B,--,-19.52%,
58,SHOP,Shopify Inc. Class A Subordinate Voting Shares,,92.21 +6.50 (+7.58%),6.5,+7.58%,4.676M,11.225M,119.271B,59.49,+18.61%,
59,ACHR,Archer Aviation Inc.,,7.95 +0.61 (+8.31%),0.61,+8.31%,8.088M,27.656M,4.312B,--,+84.89%,
60,SOUN,"SoundHound AI, Inc.",,8.81 +0.67 (+8.27%),0.67,+8.27%,7.773M,36.13M,3.516B,--,+102.99%,
61,WGS,GeneDx Holdings Corp.,,104.95 +8.06 (+8.32%),8.06,+8.32%,262889,1.021M,2.994B,--,+719.71%,
62,NET,"Cloudflare, Inc.",,115.32 +8.51 (+7.97%),8.51,+7.97%,1.117M,4.314M,39.964B,--,+21.82%,
63,CIEN,Ciena Corporation,,64.36 +4.86 (+8.16%),4.86,+8.16%,631057,2.623M,9.148B,117.01,+32.10%,
64,ZWS,Zurn Elkay Water Solutions Corporation,,33.72 +2.59 (+8.30%),2.59,+8.30%,384598,1.119M,5.691B,35.12,-3.08%,
65,XPO,"XPO, Inc.",,104.35 +7.93 (+8.22%),7.93,+8.22%,411046,1.75M,12.291B,32.31,-17.93%,
66,MBLY,Mobileye Global Inc.,,13.06 +1.01 (+8.37%),1.01,+8.37%,1.255M,4.568M,10.601B,--,-61.28%,
67,DUOL,"Duolingo, Inc.",,364.67 +28.33 (+8.42%),28.33,+8.42%,322043,910350,16.499B,193.97,+55.44%,
68,CRS,Carpenter Technology Corporation,,191.65 +14.26 (+8.04%),14.26,+8.04%,184961,891821,9.572B,36.16,+120.62%,
69,RIOT,"Riot Platforms, Inc.",,7.66 +0.54 (+7.51%),0.54,+7.51%,9.906M,27.478M,2.681B,22.51,-40.07%,
70,ONTO,Onto Innovation Inc.,,123.02 +8.81 (+7.71%),8.81,+7.71%,161649,1.121M,6.008B,30.38,-35.39%,
71,RBRK,"Rubrik, Inc.",,66.43 +4.54 (+7.34%),4.54,+7.34%,683713,2.428M,12.607B,--,+67.27%,
72,FN,Fabrinet,,191.30 +14.16 (+7.99%),14.16,+7.99%,166497,935831,6.885B,21.37,+4.24%,
73,MRVL,"Marvell Technology, Inc.",,54.56 +3.94 (+7.78%),3.94,+7.78%,5.898M,18.902M,47.252B,--,-21.94%,
74,CAMT,Camtek Ltd.,,64.98 +4.79 (+7.96%),4.79,+7.96%,134211,539606,2.963B,26.85,-22.30%,
75,RDDT,"Reddit, Inc.",,109.65 +7.99 (+7.86%),7.99,+7.86%,2.286M,7.938M,19.836B,--,+135.60%,
76,POWL,"Powell Industries, Inc.",,178.17 +12.32 (+7.43%),12.32,+7.43%,71678,480514,2.15B,13.53,+11.14%,
77,TNXP,Tonix Pharmaceuticals Holding Corp.,,16.14 +1.18 (+7.86%),1.18,+7.86%,201966,1.675M,110.98M,--,-97.08%,
78,PI,"Impinj, Inc.",,80.00 +5.71 (+7.69%),5.71,+7.69%,150344,725191,2.283B,57.55,-38.56%,
79,PLTR,Palantir Technologies Inc.,,101.11 +7.12 (+7.58%),7.12,+7.58%,36.303M,109.909M,237.139B,532.16,+335.34%,
80,MDB,"MongoDB, Inc.",,163.87 +11.72 (+7.70%),11.72,+7.70%,770856,2.371M,13.304B,--,-58.80%,
81,PINS,"Pinterest, Inc.",,26.43 +1.75 (+7.11%),1.75,+7.11%,3.021M,13.006M,17.876B,9.90,-24.87%,
82,AMD,"Advanced Micro Devices, Inc.",,92.89 +6.63 (+7.69%),6.63,+7.69%,13.641M,41.234M,150.92B,92.89,-43.15%,
83,CFLT,"Confluent, Inc.",,22.22 +1.58 (+7.66%),1.58,+7.66%,723671,6.231M,7.422B,--,-28.53%,
84,LAZ,"Lazard, Inc.",,39.17 +2.77 (+7.60%),2.77,+7.60%,236386,1.277M,3.521B,14.61,-7.38%,
85,FIX,"Comfort Systems USA, Inc.",,366.42 +26.09 (+7.66%),26.09,+7.66%,59491,591470,12.945B,25.10,+10.25%,
86,GDS,GDS Holdings Limited,,24.01 +1.61 (+7.21%),1.61,+7.21%,570186,4.002M,4.63B,--,+208.54%,
87,ROOT,"Root, Inc.",,145.95 +11.00 (+8.19%),11.0,+8.19%,164991,678183,2.218B,79.32,+124.84%,
88,STLD,"Steel Dynamics, Inc.",,126.11 +8.72 (+7.42%),8.72,+7.42%,665322,1.916M,18.903B,12.82,-9.64%,
89,STEP,StepStone Group Inc.,,49.88 +3.53 (+7.63%),3.53,+7.63%,35821,653877,5.949B,--,+29.47%,
90,YMM,Full Truck Alliance Co. Ltd.,,11.57 +0.76 (+6.98%),0.76,+6.98%,2.222M,9.987M,12.106B,28.23,+29.89%,
91,MAT,"Mattel, Inc.",,15.69 +1.11 (+7.65%),1.11,+7.65%,1.001M,4.598M,5.068B,9.93,-23.98%,
92,GEHC,GE HealthCare Technologies Inc.,,66.35 +4.70 (+7.62%),4.7,+7.62%,1.877M,4.075M,30.378B,15.29,-28.91%,
93,GFS,GLOBALFOUNDRIES Inc.,,33.99 +2.28 (+7.19%),2.28,+7.19%,420544,2.558M,18.794B,--,-32.97%,
94,NOW,"ServiceNow, Inc.",,821.52 +54.68 (+7.13%),54.68,+7.13%,608619,2.025M,170.055B,120.46,+2.75%,
95,KKR,KKR & Co. Inc.,,109.74 +7.46 (+7.29%),7.46,+7.29%,1.588M,6.681M,101.27B,33.46,+5.69%,
96,SOFI,"SoFi Technologies, Inc.",,12.09 +0.81 (+7.23%),0.81,+7.23%,13.712M,51.064M,13.343B,30.99,+48.29%,
97,ENTG,"Entegris, Inc.",,74.51 +5.18 (+7.47%),5.18,+7.47%,352568,3.557M,11.275B,38.61,-45.77%,
98,AEIS,"Advanced Energy Industries, Inc.",,94.66 +6.55 (+7.43%),6.55,+7.43%,54154,366940,3.586B,63.53,-5.09%,
99,MRNA,"Moderna, Inc.",,27.57 +1.83 (+7.11%),1.83,+7.11%,2.685M,11.02M,10.659B,--,-76.35%,
100,JEF,Jefferies Financial Group Inc.,,46.57 +3.17 (+7.31%),3.17,+7.31%,267548,2.042M,9.605B,16.40,-2.69%,
101,MTSI,"MACOM Technology Solutions Holdings, Inc.",,102.98 +7.11 (+7.42%),7.11,+7.42%,68438,841642,7.656B,--,-4.82%,
102,XIACY,Xiaomi Corporation,,31.05 +2.13 (+7.37%),2.13,+7.37%,50557,996645,158.835B,49.29,+160.47%,
103,MTD,Mettler-Toledo International Inc.,,"1,078.19 +75.03 (+7.49%)",75.03,+7.49%,98686,174791,22.471B,26.60,-18.80%,
104,RMBS,Rambus Inc.,,47.54 +3.26 (+7.37%),3.26,+7.37%,325028,1.08M,5.108B,28.81,-21.66%,
105,IESC,"IES Holdings, Inc.",,190.45 +12.93 (+7.28%),12.93,+7.28%,30684,225973,3.81B,17.73,+37.92%,
106,IOT,Samsara Inc.,,37.94 +2.47 (+6.96%),2.47,+6.96%,574806,4.778M,21.6B,--,+2.37%,
107,DELL,Dell Technologies Inc.,,90.26 +6.18 (+7.35%),6.18,+7.35%,2.396M,9.084M,62.987B,14.15,-30.05%,
108,MATX,"Matson, Inc.",,103.29 +7.03 (+7.30%),7.03,+7.30%,120885,395911,3.391B,7.42,-11.05%,
109,RXRX,"Recursion Pharmaceuticals, Inc.",,6.02 +0.39 (+7.01%),0.39,+7.01%,6.17M,25.501M,2.422B,--,-29.09%,
110,SG,"Sweetgreen, Inc.",,18.40 +1.23 (+7.16%),1.23,+7.16%,736517,4.058M,2.158B,--,-20.95%,
111,WSM,"Williams-Sonoma, Inc.",,152.24 +10.31 (+7.26%),10.31,+7.26%,370795,2.524M,18.803B,17.32,-0.58%,
112,ZI,ZoomInfo Technologies Inc.,,8.51 +0.57 (+7.18%),0.57,+7.18%,875510,6.986M,3.109B,106.38,-50.03%,
113,GAP,"The Gap, Inc.",,20.86 +1.37 (+7.03%),1.37,+7.03%,1.544M,9.143M,7.856B,9.48,-3.08%,
114,MASI,Masimo Corporation,,162.52 +10.45 (+6.87%),10.45,+6.87%,89744,587740,8.782B,--,+11.88%,
115,ODFL,"Old Dominion Freight Line, Inc.",,162.48 +10.41 (+6.85%),10.41,+6.85%,400886,1.946M,34.47B,29.70,-22.04%,
116,AMZN,"Amazon.com, Inc.",,184.88 +11.70 (+6.76%),11.7,+6.76%,19.855M,49.154M,1.962T,33.49,-1.93%,
117,U,Unity Software Inc.,,21.51 +1.34 (+6.65%),1.34,+6.65%,2.562M,11.287M,8.938B,--,-14.43%,
118,OWL,Blue Owl Capital Inc.,,18.17 +1.21 (+7.13%),1.21,+7.13%,2.586M,8.464M,27.752B,90.85,-9.69%,
119,FLEX,Flex Ltd.,,33.37 +2.10 (+6.72%),2.1,+6.72%,563164,4.061M,12.784B,13.62,+9.72%,
120,SYNA,Synaptics Incorporated,,53.98 +3.60 (+7.15%),3.6,+7.15%,65090,695201,2.115B,12.61,-41.45%,
121,MCHP,Microchip Technology Incorporated,,43.14 +2.85 (+7.07%),2.85,+7.07%,1.863M,12.434M,23.202B,75.68,-55.57%,
122,VIK,Viking Holdings Ltd,,40.66 +2.66 (+7.00%),2.66,+7.00%,738396,3.494M,18.01B,112.94,+45.59%,
123,PWR,"Quanta Services, Inc.",,280.16 +18.31 (+6.99%),18.31,+6.99%,320878,1.764M,41.538B,46.54,+3.42%,
124,FTAI,FTAI Aviation Ltd.,,98.08 +6.04 (+6.56%),6.04,+6.56%,267354,2.226M,10.059B,--,+25.31%,
125,BPOP,"Popular, Inc.",,95.74 +6.25 (+6.99%),6.25,+6.99%,250607,650267,6.638B,11.18,+1.27%,
126,XIACF,Xiaomi Corporation,,6.21 +0.41 (+7.06%),0.41,+7.06%,25380,203390,157.963B,47.77,+173.71%,
127,FRSH,Freshworks Inc.,,13.05 +0.84 (+6.89%),0.84,+6.89%,392914,3.768M,3.881B,--,-34.07%,
