,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
35,UEC,Uranium Energy Corp.,,5.18 +0.34 (+7.02%),0.34,+7.02%,12.225M,8.413M,2.221B,--,-26.89%,
36,GLOB,Globant S.A.,,112.24 +7.31 (+6.97%),7.31,+6.97%,1.224M,961711,4.945B,30.09,-42.76%,
37,MDB,"MongoDB, Inc.",,162.66 +10.51 (+6.91%),10.51,+6.91%,2.977M,2.371M,13.206B,--,-58.80%,
38,AFRM,"Affirm Holdings, Inc.",,46.84 +3.02 (+6.89%),3.02,+6.89%,7.607M,8.335M,14.993B,--,+36.60%,
39,LITE,Lumentum Holdings Inc.,,55.17 +3.53 (+6.84%),3.53,+6.84%,2.564M,2.999M,3.818B,--,+22.78%,
40,ZETA,Zeta Global Holdings Corp.,,12.08 +0.77 (+6.81%),0.77,+6.81%,4.526M,6.17M,2.872B,--,-7.90%,
41,EWBC,"East West Bancorp, Inc.",,84.44 +5.23 (+6.60%),5.23,+6.60%,3.141M,1.257M,11.636B,9.51,+2.60%,
42,MOD,Modine Manufacturing Company,,76.95 +4.75 (+6.58%),4.75,+6.58%,1.676M,1.518M,4.046B,25.91,-20.65%,
43,RKLB,"Rocket Lab USA, Inc.",,20.29 +1.25 (+6.57%),1.25,+6.57%,17.333M,18.001M,9.202B,--,+415.99%,
44,CLS,Celestica Inc.,,88.19 +5.42 (+6.55%),5.42,+6.55%,4.978M,5.54M,10.226B,24.43,+87.69%,
45,VST,Vistra Corp.,,120.00 +7.37 (+6.54%),7.37,+6.54%,6.489M,9.332M,40.819B,17.12,+59.85%,
46,NOW,"ServiceNow, Inc.",,812.70 +45.87 (+5.98%),45.87,+5.98%,2.926M,2.025M,168.231B,119.16,+2.75%,
47,CAVA,"CAVA Group, Inc.",,86.45 +5.15 (+6.33%),5.15,+6.33%,3M,3.637M,9.993B,78.59,+34.58%,
48,RGTI,"Rigetti Computing, Inc.",,9.11 +0.54 (+6.30%),0.54,+6.30%,25.635M,66.518M,2.604B,--,+645.22%,
49,CAMT,Camtek Ltd.,,63.97 +3.78 (+6.28%),3.78,+6.28%,452193,539606,2.917B,26.43,-22.30%,
50,FRGE,"Forge Global Holdings, Inc.",,12.55 +0.74 (+6.27%),0.74,+6.27%,204333,89132,157.413M,--,-59.83%,
51,MRVL,"Marvell Technology, Inc.",,53.77 +3.15 (+6.22%),3.15,+6.22%,18.643M,18.902M,46.568B,--,-21.94%,
52,APP,AppLovin Corporation,,252.35 +14.64 (+6.16%),14.64,+6.16%,7.281M,9.254M,85.386B,55.58,+241.05%,
53,SHOP,Shopify Inc. Class A Subordinate Voting Shares,,90.96 +5.25 (+6.13%),5.25,+6.13%,13.904M,11.225M,117.66B,58.68,+18.61%,
54,HOOD,"Robinhood Markets, Inc.",,44.66 +2.57 (+6.11%),2.57,+6.11%,48.523M,43.332M,39.545B,28.63,+143.15%,
55,MEOH,Methanex Corporation,,30.51 +1.75 (+6.08%),1.75,+6.08%,673554,550350,2.056B,12.77,-39.72%,
56,PCVX,"Vaxcyte, Inc.",,33.16 +1.90 (+6.08%),1.9,+6.08%,1.75M,1.977M,4.27B,--,-48.16%,
57,BA,The Boeing Company,,172.37 +9.85 (+6.06%),9.85,+6.06%,15.358M,8.944M,129.692B,--,-1.10%,
58,AMKBY,A.P. Møller - Mærsk A/S,,8.41 +0.48 (+6.05%),0.48,+6.05%,18688,243821,26.089B,4.36,+12.66%,
59,DELL,Dell Technologies Inc.,,89.16 +5.08 (+6.04%),5.08,+6.04%,7.916M,9.084M,62.22B,13.97,-30.05%,
60,XIACF,Xiaomi Corporation,,6.15 +0.35 (+6.03%),0.35,+6.03%,104133,203390,156.437B,47.31,+173.71%,
61,MANH,"Manhattan Associates, Inc.",,171.95 +9.70 (+5.98%),9.7,+5.98%,2.099M,1.022M,10.44B,49.13,-21.36%,
62,WAB,Westinghouse Air Brake Technologies Corporation,,181.97 +10.21 (+5.94%),10.21,+5.94%,2.174M,1.185M,31.109B,30.08,+5.13%,
63,BPOP,"Popular, Inc.",,94.79 +5.31 (+5.93%),5.31,+5.93%,1.074M,650267,6.573B,11.07,+1.27%,
64,RBRK,"Rubrik, Inc.",,65.55 +3.66 (+5.91%),3.66,+5.91%,3.144M,2.428M,12.44B,--,+67.27%,
65,NTNX,"Nutanix, Inc.",,63.30 +3.52 (+5.89%),3.52,+5.89%,2.456M,2.62M,16.88B,--,-1.82%,
66,DOCN,"DigitalOcean Holdings, Inc.",,28.25 +1.57 (+5.88%),1.57,+5.88%,1.202M,1.463M,2.601B,31.74,-19.20%,
67,PSTG,"Pure Storage, Inc.",,42.72 +2.36 (+5.85%),2.36,+5.85%,3.147M,3.05M,13.928B,137.81,-20.32%,
68,S,"SentinelOne, Inc.",,17.31 +0.95 (+5.81%),0.95,+5.81%,5.019M,5.353M,5.706B,--,-24.15%,
69,XIACY,Xiaomi Corporation,,30.59 +1.67 (+5.77%),1.67,+5.77%,167357,996645,156.482B,48.56,+160.47%,
70,RTX,RTX Corporation,,120.28 +6.53 (+5.74%),6.53,+5.74%,10.455M,5.605M,160.585B,35.27,+12.60%,
71,PAYO,Payoneer Global Inc.,,6.65 +0.36 (+5.72%),0.36,+5.72%,5.591M,3.496M,2.393B,20.15,+26.81%,
72,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,304.48 +16.48 (+5.72%),16.48,+5.72%,68140,53513,9.097B,13.45,-15.34%,
73,ROKU,"Roku, Inc.",,62.58 +3.35 (+5.66%),3.35,+5.66%,4.247M,4.221M,9.133B,--,-4.21%,
74,SITM,SiTime Corporation,,137.74 +7.33 (+5.62%),7.33,+5.62%,299111,353568,3.267B,--,+71.10%,
75,SYBT,"Stock Yards Bancorp, Inc.",,75.39 +4.01 (+5.62%),4.01,+5.62%,195156,126395,2.221B,19.38,+48.37%,
76,NET,"Cloudflare, Inc.",,112.80 +5.99 (+5.61%),5.99,+5.61%,3.285M,4.314M,39.091B,--,+21.82%,
77,TBBK,"The Bancorp, Inc.",,48.38 +2.56 (+5.59%),2.56,+5.59%,521565,643152,2.32B,10.68,+36.37%,
78,INTC,Intel Corporation,,20.59 +1.08 (+5.54%),1.08,+5.54%,96.245M,112.699M,89.785B,--,-43.45%,
79,THC,Tenet Healthcare Corporation,,121.05 +6.37 (+5.55%),6.37,+5.55%,1.741M,1.637M,11.424B,3.51,+16.71%,
80,TSLA,"Tesla, Inc.",,250.74 +12.77 (+5.37%),12.77,+5.37%,147.94M,112.565M,806.51B,138.53,+46.78%,
81,GLBE,Global-E Online Ltd.,,34.76 +1.82 (+5.53%),1.82,+5.53%,2.433M,2.111M,5.89B,--,-1.76%,
82,PRCT,PROCEPT BioRobotics Corporation,,55.70 +2.90 (+5.49%),2.9,+5.49%,1.916M,973611,3.053B,--,+0.61%,
83,CFLT,"Confluent, Inc.",,21.77 +1.13 (+5.47%),1.13,+5.47%,3.784M,6.231M,7.272B,--,-28.53%,
84,FN,Fabrinet,,186.82 +9.68 (+5.46%),9.68,+5.46%,1.082M,935831,6.724B,19.81,+4.24%,
85,AVPT,"AvePoint, Inc.",,15.10 +0.78 (+5.45%),0.78,+5.45%,1.108M,1.415M,3.063B,--,+81.04%,
86,HLNE,Hamilton Lane Incorporated,,144.10 +7.42 (+5.43%),7.42,+5.43%,569690,584665,8.214B,26.64,+20.59%,
87,RDDT,"Reddit, Inc.",,107.17 +5.51 (+5.42%),5.51,+5.42%,5.862M,7.938M,19.387B,--,+135.60%,
88,FLEX,Flex Ltd.,,32.95 +1.68 (+5.37%),1.68,+5.37%,3.763M,4.061M,12.623B,13.45,+9.72%,
89,AKZOY,Akzo Nobel N.V.,,20.80 +1.06 (+5.37%),1.06,+5.37%,46662,117180,10.658B,17.33,-10.73%,
90,GTLS,"Chart Industries, Inc.",,127.56 +6.50 (+5.37%),6.5,+5.37%,1.456M,770996,5.732B,30.66,-20.85%,
91,HIMS,"Hims & Hers Health, Inc.",,26.71 +1.36 (+5.36%),1.36,+5.36%,21.988M,25.306M,5.934B,47.70,+105.43%,
92,QFIN,"Qifu Technology, Inc.",,39.22 +1.99 (+5.35%),1.99,+5.35%,1.886M,2.042M,5.503B,7.02,+102.51%,
93,RIOT,"Riot Platforms, Inc.",,7.50 +0.38 (+5.34%),0.38,+5.34%,39.994M,27.478M,2.627B,22.06,-40.07%,
94,PCOR,"Procore Technologies, Inc.",,60.28 +3.05 (+5.33%),3.05,+5.33%,2.313M,1.537M,9.037B,--,-19.52%,
95,POWL,"Powell Industries, Inc.",,174.67 +8.82 (+5.32%),8.82,+5.32%,316201,480514,2.107B,13.26,+11.14%,
96,BZ,Kanzhun Limited,,14.61 +0.73 (+5.26%),0.73,+5.26%,3.251M,5.623M,6.511B,31.09,-27.44%,
97,ASTS,"AST SpaceMobile, Inc.",,22.42 +1.12 (+5.26%),1.12,+5.26%,7.895M,12.024M,7.096B,--,+895.33%,
98,GEHC,GE HealthCare Technologies Inc.,,64.89 +3.24 (+5.26%),3.24,+5.26%,6.291M,4.075M,29.709B,14.95,-28.91%,
99,MTSI,"MACOM Technology Solutions Holdings, Inc.",,100.90 +5.03 (+5.25%),5.03,+5.25%,564630,841642,7.501B,--,-4.82%,
100,SYNA,Synaptics Incorporated,,53.02 +2.64 (+5.24%),2.64,+5.24%,630450,695201,2.078B,12.39,-41.45%,
101,IESC,"IES Holdings, Inc.",,186.81 +9.29 (+5.23%),9.29,+5.23%,159339,225973,3.737B,17.39,+37.92%,
102,TME,Tencent Music Entertainment Group,,13.14 +0.65 (+5.20%),0.65,+5.20%,10.827M,8.811M,21.9B,23.05,-0.32%,
103,CIEN,Ciena Corporation,,62.59 +3.09 (+5.19%),3.09,+5.19%,2.672M,2.623M,8.897B,113.80,+32.10%,
104,WAL,Western Alliance Bancorporation,,68.70 +3.36 (+5.14%),3.36,+5.14%,1.883M,1.33M,7.588B,9.44,+10.06%,
105,DOCU,"DocuSign, Inc.",,78.01 +3.81 (+5.13%),3.81,+5.13%,1.636M,2.528M,15.797B,15.36,+29.52%,
106,LRCX,Lam Research Corporation,,66.73 +3.25 (+5.12%),3.25,+5.12%,17.605M,13.809M,85.659B,20.28,-28.26%,
107,SNOW,Snowflake Inc.,,147.39 +7.16 (+5.11%),7.16,+5.11%,5.677M,5.846M,49.243B,--,-9.52%,
108,MATX,"Matson, Inc.",,101.17 +4.90 (+5.09%),4.9,+5.09%,625811,395911,3.322B,6.91,-11.05%,
109,ZK,ZEEKR Intelligent Technology Holding Limited,,20.55 +0.99 (+5.06%),0.99,+5.06%,868408,715650,5.224B,--,-30.79%,
110,ONTO,Onto Innovation Inc.,,119.99 +5.78 (+5.06%),5.78,+5.06%,1.061M,1.121M,5.86B,29.63,-35.39%,
111,NBIS,Nebius Group N.V.,,22.96 +1.10 (+5.03%),1.1,+5.03%,7.532M,14.024M,5.413B,--,+9.30%,
112,IOT,Samsara Inc.,,37.22 +1.75 (+4.93%),1.75,+4.93%,3.975M,4.778M,21.19B,--,+2.37%,
113,MPWR,"Monolithic Power Systems, Inc.",,536.97 +25.15 (+4.91%),25.15,+4.91%,828426,1.048M,25.703B,14.67,-20.30%,
114,RUM,Rumble Inc.,,7.93 +0.37 (+4.89%),0.37,+4.89%,1.655M,2.758M,2.684B,--,+15.60%,
115,UPST,"Upstart Holdings, Inc.",,43.98 +2.05 (+4.89%),2.05,+4.89%,6.933M,6.327M,4.181B,--,+81.36%,
116,ZWS,Zurn Elkay Water Solutions Corporation,,32.65 +1.52 (+4.88%),1.52,+4.88%,2.845M,1.119M,5.511B,34.01,-3.08%,
117,AUR,"Aurora Innovation, Inc.",,6.45 +0.30 (+4.88%),0.3,+4.88%,9.963M,14.013M,11.397B,--,+116.55%,
118,FRO,Frontline plc,,15.70 +0.73 (+4.88%),0.73,+4.88%,3.671M,3.075M,3.495B,7.04,-34.11%,
119,IONQ,"IonQ, Inc.",,26.80 +1.24 (+4.85%),1.24,+4.85%,14.42M,19.014M,6.402B,--,+211.71%,
120,RXO,"RXO, Inc.",,13.40 +0.62 (+4.85%),0.62,+4.85%,1.739M,1.604M,2.196B,--,-33.85%,
121,FBP,First BanCorp.,,19.56 +0.90 (+4.82%),0.9,+4.82%,3.459M,1.268M,3.191B,10.81,+5.42%,
122,LLYVA,Liberty Live Group,,69.59 +3.18 (+4.79%),3.18,+4.79%,135956,169522,6.524B,--,+82.29%,
123,AMD,"Advanced Micro Devices, Inc.",,90.39 +4.13 (+4.79%),4.13,+4.79%,40.591M,41.234M,146.85B,90.39,-43.15%,
124,WBD,"Warner Bros. Discovery, Inc.",,8.33 +0.38 (+4.78%),0.38,+4.78%,54.05M,40.054M,20.448B,--,-5.13%,
125,PWR,"Quanta Services, Inc.",,274.31 +12.46 (+4.76%),12.46,+4.76%,1.556M,1.764M,40.67B,45.57,+3.42%,
126,CRWD,"CrowdStrike Holdings, Inc.",,385.75 +17.30 (+4.70%),17.3,+4.70%,3.538M,4.376M,95.617B,--,+23.80%,
127,FRSH,Freshworks Inc.,,12.78 +0.57 (+4.67%),0.57,+4.67%,2.323M,3.768M,3.8B,--,-34.07%,
128,ICLR,ICON Public Limited Company,,143.12 +6.33 (+4.63%),6.33,+4.63%,2.029M,1.104M,11.567B,15.02,-55.79%,
129,FORM,"FormFactor, Inc.",,26.72 +1.18 (+4.62%),1.18,+4.62%,771329,976562,2.059B,28.73,-38.78%,
130,STRL,"Sterling Infrastructure, Inc.",,140.08 +6.16 (+4.60%),6.16,+4.60%,693543,907280,4.261B,16.18,+32.63%,
131,MAT,"Mattel, Inc.",,15.25 +0.67 (+4.60%),0.67,+4.60%,5.71M,4.598M,4.924B,9.65,-23.98%,
132,GDDY,GoDaddy Inc.,,178.01 +7.82 (+4.59%),7.82,+4.59%,1.475M,1.675M,25.163B,27.60,+37.44%,
133,ARM,Arm Holdings plc,,105.16 +4.61 (+4.58%),4.61,+4.58%,5.074M,5.66M,110.839B,138.37,+0.67%,
134,JOBY,"Joby Aviation, Inc.",,6.16 +0.27 (+4.58%),0.27,+4.58%,15.33M,11.916M,4.853B,--,+20.70%,
135,VIK,Viking Holdings Ltd,,39.74 +1.74 (+4.58%),1.74,+4.58%,5.195M,3.494M,17.603B,104.58,+45.59%,
136,ENTG,"Entegris, Inc.",,72.49 +3.16 (+4.56%),3.16,+4.56%,2.68M,3.557M,10.969B,35.89,-45.77%,
137,YUMC,"Yum China Holdings, Inc.",,46.81 +2.03 (+4.53%),2.03,+4.53%,4.262M,3.248M,17.505B,20.09,+15.41%,
138,FIX,"Comfort Systems USA, Inc.",,355.70 +15.37 (+4.52%),15.37,+4.52%,360926,591470,12.566B,24.36,+10.25%,
139,GDS,GDS Holdings Limited,,23.41 +1.01 (+4.51%),1.01,+4.51%,2.049M,4.002M,4.514B,--,+208.54%,
140,JHX,James Hardie Industries plc,,23.51 +1.01 (+4.49%),1.01,+4.49%,4.269M,1.599M,10.105B,22.18,-36.03%,
141,ALGM,"Allegro MicroSystems, Inc.",,17.52 +0.75 (+4.47%),0.75,+4.47%,3.948M,3.685M,3.226B,--,-41.71%,
142,INTR,"Inter & Co, Inc.",,6.31 +0.27 (+4.47%),0.27,+4.47%,1.828M,2.718M,2.658B,17.05,+19.13%,
143,ALKT,"Alkami Technology, Inc.",,26.22 +1.12 (+4.46%),1.12,+4.46%,1.101M,1.291M,2.701B,--,+2.49%,
144,HUBS,"HubSpot, Inc.",,565.96 +24.14 (+4.46%),24.14,+4.46%,852246,684083,29.517B,5145.09,-16.87%,
145,CCJ,Cameco Corporation,,41.97 +1.79 (+4.45%),1.79,+4.45%,4.547M,4.438M,18.27B,149.89,-17.60%,
146,AR,Antero Resources Corporation,,34.29 +1.46 (+4.45%),1.46,+4.45%,6.492M,5.218M,10.67B,190.50,+4.42%,
147,FROG,JFrog Ltd.,,31.97 +1.36 (+4.44%),1.36,+4.44%,729047,1.017M,3.663B,--,-23.15%,
148,CEG,Constellation Energy Corporation,,209.80 +8.92 (+4.44%),8.92,+4.44%,2.94M,4.569M,65.732B,17.65,+7.91%,
149,NVMI,Nova Ltd.,,181.86 +7.73 (+4.44%),7.73,+4.44%,178686,292800,5.325B,31.63,+4.54%,
150,KKR,KKR & Co. Inc.,,106.81 +4.53 (+4.43%),4.53,+4.43%,7.39M,6.681M,98.566B,32.56,+5.69%,
151,PSMT,"PriceSmart, Inc.",,100.26 +4.25 (+4.43%),4.25,+4.43%,380336,257824,3.083B,21.38,+18.66%,
152,ASAN,"Asana, Inc.",,15.12 +0.64 (+4.42%),0.64,+4.42%,2.534M,3.462M,3.524B,--,-3.34%,
153,GFS,GLOBALFOUNDRIES Inc.,,33.11 +1.40 (+4.42%),1.4,+4.42%,1.956M,2.558M,18.307B,--,-32.97%,
154,ASX,"ASE Technology Holding Co., Ltd.",,8.52 +0.36 (+4.41%),0.36,+4.41%,17.011M,12.045M,18.503B,19.36,-21.31%,
155,STM,STMicroelectronics N.V.,,21.78 +0.92 (+4.41%),0.92,+4.41%,10.254M,8.384M,19.457B,13.12,-50.50%,
156,HNHPF,"Hon Hai Precision Industry Co., Ltd.",,8.55 +0.36 (+4.40%),0.36,+4.40%,35375,55145,59.374B,12.76,-12.80%,
157,STLD,"Steel Dynamics, Inc.",,122.49 +5.10 (+4.34%),5.1,+4.34%,1.978M,1.916M,18.361B,12.45,-9.64%,
158,HWM,Howmet Aerospace Inc.,,129.70 +5.40 (+4.34%),5.4,+4.34%,2.931M,3.012M,52.459B,46.16,+92.12%,
159,MNDY,monday.com Ltd.,,247.99 +10.32 (+4.34%),10.32,+4.34%,699156,1.002M,12.591B,387.48,+26.93%,
160,SYM,Symbotic Inc.,,21.16 +0.88 (+4.34%),0.88,+4.34%,899609,1.676M,12.45B,--,-49.84%,
161,DXC,DXC Technology Company,,15.16 +0.63 (+4.34%),0.63,+4.34%,1.536M,1.903M,2.745B,--,-30.91%,
162,NMRK,"Newmark Group, Inc.",,10.83 +0.45 (+4.34%),0.45,+4.34%,2.068M,1.051M,2.731B,31.85,+6.46%,
163,AVGO,Broadcom Inc.,,176.91 +7.33 (+4.32%),7.33,+4.32%,24.325M,34.001M,831.822B,82.28,+34.93%,
164,LLYVK,Liberty Live Group,,70.83 +2.93 (+4.32%),2.93,+4.32%,537632,485775,6.495B,--,+80.39%,
165,AS,"Amer Sports, Inc.",,23.21 +0.96 (+4.31%),0.96,+4.31%,6.292M,3.942M,12.87B,165.79,+55.27%,
166,INGM,Ingram Micro Holding Corporation,,16.75 +0.69 (+4.30%),0.69,+4.30%,342331,392742,3.933B,14.19,-34.72%,
167,MTD,Mettler-Toledo International Inc.,,"1,046.23 +43.07 (+4.29%)",43.07,+4.29%,412234,174791,21.804B,25.81,-18.80%,
168,AMZN,"Amazon.com, Inc.",,180.60 +7.42 (+4.28%),7.42,+4.28%,62.153M,49.154M,1.917T,32.72,-1.93%,
169,BEKE,KE Holdings Inc.,,21.10 +0.86 (+4.25%),0.86,+4.25%,11.642M,10.96M,25.036B,44.89,+47.41%,
170,CVNA,Carvana Co.,,220.94 +8.99 (+4.24%),8.99,+4.24%,5.234M,4.723M,25.838B,138.96,+181.29%,
171,OKTA,"Okta, Inc.",,98.33 +4.00 (+4.24%),4.0,+4.24%,2.356M,3.344M,17.07B,1638.83,+0.61%,
172,BILL,"BILL Holdings, Inc.",,42.57 +1.73 (+4.24%),1.73,+4.24%,1.372M,3.167M,4.34B,109.15,-33.50%,
173,TSM,Taiwan Semiconductor Manufacturing Company Limited,,157.81 +6.41 (+4.23%),6.41,+4.23%,17.639M,18.668M,818.489B,20.47,+13.86%,
174,JEF,Jefferies Financial Group Inc.,,45.23 +1.83 (+4.22%),1.83,+4.22%,1.58M,2.042M,9.329B,15.28,-2.69%,
175,LAZ,"Lazard, Inc.",,37.93 +1.53 (+4.20%),1.53,+4.20%,1.803M,1.277M,3.41B,14.15,-7.38%,
176,GH,"Guardant Health, Inc.",,45.64 +1.84 (+4.20%),1.84,+4.20%,2.299M,2.179M,5.633B,--,+141.99%,
177,OWL,Blue Owl Capital Inc.,,17.67 +0.71 (+4.19%),0.71,+4.19%,11.052M,8.464M,26.988B,84.14,-9.69%,
178,FOUR,"Shift4 Payments, Inc.",,80.22 +3.22 (+4.18%),3.22,+4.18%,1.545M,1.92M,7.147B,26.48,+26.25%,
179,RNA,"Avidity Biosciences, Inc.",,30.68 +1.23 (+4.18%),1.23,+4.18%,1.216M,1.535M,3.688B,--,+17.38%,
180,MAR,"Marriott International, Inc.",,229.79 +9.20 (+4.17%),9.2,+4.17%,3.481M,1.975M,63.278B,27.55,-9.62%,
181,SOFI,"SoFi Technologies, Inc.",,11.74 +0.47 (+4.17%),0.47,+4.17%,55.748M,51.064M,12.962B,28.63,+48.29%,
182,KMPR,Kemper Corporation,,58.59 +2.34 (+4.16%),2.34,+4.16%,551612,460355,3.751B,11.93,-6.87%,
183,CLF,Cleveland-Cliffs Inc.,,7.54 +0.30 (+4.14%),0.3,+4.14%,16.303M,21.42M,3.728B,--,-60.48%,
184,STEP,StepStone Group Inc.,,48.27 +1.92 (+4.14%),1.92,+4.14%,475232,653877,5.757B,--,+29.47%,
185,BROS,Dutch Bros Inc.,,61.11 +2.43 (+4.14%),2.43,+4.14%,1.878M,3.463M,9.969B,179.74,+105.68%,
186,FTAI,FTAI Aviation Ltd.,,95.83 +3.79 (+4.12%),3.79,+4.12%,1.224M,2.226M,9.828B,--,+25.31%,
187,ALIT,"Alight, Inc.",,5.06 +0.20 (+4.12%),0.2,+4.12%,13.616M,8.703M,2.795B,--,-46.94%,
188,LPLA,LPL Financial Holdings Inc.,,312.55 +12.35 (+4.11%),12.35,+4.11%,1.121M,1.009M,24.996B,21.41,+13.48%,
189,CPNG,"Coupang, Inc.",,22.57 +0.89 (+4.11%),0.89,+4.11%,8.055M,8.611M,40.873B,282.12,-4.91%,
190,BSX,Boston Scientific Corporation,,98.92 +3.87 (+4.07%),3.87,+4.07%,12.865M,8.405M,146.31B,79.14,+30.37%,
191,MCHP,Microchip Technology Incorporated,,41.93 +1.64 (+4.07%),1.64,+4.07%,10.226M,12.434M,22.551B,73.56,-55.57%,
192,KSPI,Joint Stock Company Kaspi.kz,,88.37 +3.45 (+4.06%),3.45,+4.06%,320517,345229,16.792B,8.23,-26.92%,
193,MT,ArcelorMittal S.A.,,28.89 +1.12 (+4.03%),1.12,+4.03%,2.728M,2.622M,22B,17.09,+10.20%,
194,COMP,"Compass, Inc.",,7.23 +0.28 (+4.03%),0.28,+4.03%,8.67M,7.157M,3.75B,--,+108.71%,
