,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PEGA,Pegasystems Inc.,,88.55 +19.79 (+28.78%),19.79,+28.78%,3.833M,963942,7.606B,79.77,+16.78%,
1,SMMT,Summit Therapeutics Inc.,,33.23 +5.88 (+21.50%),5.88,+21.50%,11.768M,2.931M,24.513B,--,+661.84%,
2,DJTWW,Trump Media & Technology Group Corp.,,16.54 +2.66 (+19.16%),2.66,+19.16%,146465,28577,5.282B,--,+24.31%,
3,TEM,"Tempus AI, Inc.",,49.55 +6.32 (+14.62%),6.32,+14.62%,18.67M,13.516M,8.574B,--,+7.40%,
4,TNXP,Tonix Pharmaceuticals Holding Corp.,,17.02 +2.06 (+13.77%),2.06,+13.77%,827824,1.675M,117.06M,--,-97.08%,
5,DJT,Trump Media & Technology Group Corp.,,26.38 +2.73 (+11.54%),2.73,+11.54%,14.578M,5.37M,5.82B,--,-33.70%,
6,APPN,Appian Corporation,,29.56 +2.82 (+10.55%),2.82,+10.55%,1.301M,587426,2.189B,--,-27.06%,
7,ATI,ATI Inc.,,50.41 +4.80 (+10.52%),4.8,+10.52%,2.662M,2.299M,7.111B,17.88,-7.33%,
8,DUOL,"Duolingo, Inc.",,370.00 +33.66 (+10.01%),33.66,+10.01%,1.093M,910350,16.74B,196.81,+55.44%,
9,SMTC,Semtech Corporation,,27.15 +2.46 (+9.96%),2.46,+9.96%,3.101M,3.078M,2.349B,--,-27.17%,
10,TLX,Telix Pharmaceuticals Limited,,18.30 +1.63 (+9.78%),1.63,+9.78%,49728,36198,6.125B,203.33,+10.03%,
11,BNTX,BioNTech SE,,114.83 +10.15 (+9.70%),10.15,+9.70%,2.529M,904888,27.604B,--,+18.83%,
12,ACHR,Archer Aviation Inc.,,8.05 +0.71 (+9.67%),0.71,+9.67%,26.788M,27.656M,4.367B,--,+84.89%,
13,MBLY,Mobileye Global Inc.,,13.20 +1.15 (+9.54%),1.15,+9.54%,5.21M,4.568M,10.715B,--,-61.28%,
14,ROOT,"Root, Inc.",,147.60 +12.65 (+9.37%),12.65,+9.37%,622402,678183,2.244B,80.22,+124.84%,
15,CRDO,Credo Technology Group Holding Ltd,,40.49 +3.47 (+9.37%),3.47,+9.37%,4.231M,5.901M,6.875B,1349.67,+108.21%,
16,WGS,GeneDx Holdings Corp.,,105.69 +8.80 (+9.08%),8.8,+9.08%,1.24M,1.021M,3.016B,--,+719.71%,
17,ALAB,"Astera Labs, Inc.",,60.15 +4.84 (+8.75%),4.84,+8.75%,4.41M,5.144M,9.754B,--,-22.09%,
18,VRT,Vertiv Holdings Co,,78.00 +6.18 (+8.60%),6.18,+8.60%,24.143M,12.202M,29.701B,60.94,-15.08%,
19,OKLO,Oklo Inc.,,23.37 +1.84 (+8.55%),1.84,+8.55%,15.942M,16.243M,3.249B,--,+60.67%,
20,APH,Amphenol Corporation,,71.15 +5.40 (+8.21%),5.4,+8.21%,17.378M,8.618M,86.218B,37.06,+13.06%,
21,FQVLF,First Quantum Minerals Ltd.,,13.09 +0.99 (+8.18%),0.99,+8.18%,74937,208685,10.92B,--,+3.95%,
22,MKSI,"MKS Instruments, Inc.",,67.91 +5.05 (+8.03%),5.05,+8.03%,1.802M,1.45M,4.58B,24.17,-44.75%,
23,COHR,Coherent Corp.,,59.34 +4.21 (+7.64%),4.21,+7.64%,3.576M,4.485M,9.196B,--,+5.82%,
24,SMCI,"Super Micro Computer, Inc.",,32.90 +2.32 (+7.59%),2.32,+7.59%,55.96M,75.87M,19.526B,14.30,-59.48%,
25,SAP,SAP SE,,271.48 +19.08 (+7.56%),19.08,+7.56%,2.779M,1.428M,323.153B,89.60,+34.21%,
26,CRS,Carpenter Technology Corporation,,190.73 +13.35 (+7.53%),13.35,+7.53%,1.784M,891821,9.527B,35.99,+120.62%,
27,SOUN,"SoundHound AI, Inc.",,8.75 +0.61 (+7.49%),0.61,+7.49%,27.358M,36.13M,3.491B,--,+102.99%,
28,SG,"Sweetgreen, Inc.",,18.45 +1.28 (+7.45%),1.28,+7.45%,4.152M,4.058M,2.164B,--,-20.95%,
29,XPEV,XPeng Inc.,,20.47 +1.40 (+7.34%),1.4,+7.34%,10.171M,13.038M,19.278B,--,+169.35%,
30,KVYO,"Klaviyo, Inc.",,26.24 +1.79 (+7.32%),1.79,+7.32%,2.326M,1.696M,7.167B,--,+6.82%,
31,JBSAY,JBS S.A.,,16.80 +1.14 (+7.28%),1.14,+7.28%,180884,114588,18.632B,10.50,+80.83%,
32,PLTR,Palantir Technologies Inc.,,100.82 +6.83 (+7.27%),6.83,+7.27%,112.242M,109.909M,236.459B,530.63,+335.34%,
33,KC,Kingsoft Cloud Holdings Limited,,12.54 +0.84 (+7.18%),0.84,+7.18%,5.19M,4.412M,3.3B,--,+303.45%,
34,CORT,Corcept Therapeutics Incorporated,,69.27 +4.59 (+7.10%),4.59,+7.10%,1.8M,1.544M,7.308B,56.32,+187.72%,
